Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(min),Rev On Bit (krev),Bit Diameter,Nozzle size(in2),pit volume(bbl)
1318.5,8.4,2.8,119,2128.7,2463,1023,10.30,585,59.4,17.50,78,731.63
1319,8.3,2.4,119,2129.2,2455,1023,10.30,588,59.8,17.50,78,731.86
1319.5,8.5,2.6,119,2129.5,2449,1023,10.30,592,60.3,17.50,78,729.87
1320,9.5,2.8,119,2128.6,2448,1023,10.30,595,60.6,17.50,78,732.09
1320.5,9.6,2.9,119,2158.8,2460,1023,10.30,598,61,17.50,78,731.43
1321,8.5,3.1,120,2093.3,2498,1021,10.30,602,61.5,17.50,78,731.98
1321.5,8.8,3.3,120,1940.7,2540,1021,10.30,605,61.9,17.50,78,733.24
1322,8.4,1.9,121,1878.7,2585,1025,10.30,609,62.3,17.50,78,767.35
1322.5,7.9,2.3,121,1940.9,2618,1023,10.30,612,62.7,17.50,78,775.01
1323,8.8,3.4,121,2010.8,2623,1023,10.30,616,63.2,17.50,78,779.81
1323.5,8.7,3.3,121,1993.6,2584,1024,10.30,619,63.6,17.50,78,780.34
1324,9.2,3.4,121,2007.7,2549,1027,10.30,623,64,17.50,78,763.61
1324.5,8.2,3.7,121,1977.6,2566,1026,10.30,626,64.4,17.50,78,726.73
1325,8.8,3.9,121,2027.9,2597,1025,10.30,630,64.8,17.50,78,716.96
1325.5,8.8,3.9,121,2063.2,2617,1024,10.30,633,65.3,17.50,78,718.93
1326,9.2,3.9,121,2099.4,2628,1024,10.30,636,65.6,17.50,78,718.38
1326.5,9.5,3.8,121,2087.1,2634,1023,10.30,640,66,17.50,78,719.98
1327,8.8,3.6,121,2085.8,2638,1023,10.30,643,66.4,17.50,78,714.87
1327.5,8.7,3.4,121,2110,2636,1024,10.30,646,66.9,17.50,78,713.43
1328,8.5,3.8,121,2208.2,2634,1025,10.30,650,67.3,17.50,78,712.56
1328.5,8.5,3.7,121,2148.5,2633,1024,10.30,653,67.7,17.50,78,713.07
1329,8.8,3.5,121,2125.2,2632,1024,10.30,657,68.1,17.50,78,717.48
1329.5,8.6,3.1,121,2061.9,2636,1023,10.30,660,68.5,17.50,78,718.46
1330,8.2,3.1,121,2058.2,2632,1024,10.30,664,69,17.50,78,717.29
1330.5,7.9,2.7,121,2009.5,2591,1026,10.30,668,69.5,17.50,78,720.46
1331,6.5,1.9,121,1915.7,2537,1028,10.30,673,70,17.50,78,719.52
1331.5,6.6,1.7,121,1919,2510,1029,10.30,677,70.6,17.50,78,718.89
1332,6.9,2.1,121,1969.4,2461,1031,10.30,681,71.1,17.50,78,715.49
1332.5,7.1,3.3,121,1994.9,2402,1034,10.30,686,71.6,17.50,78,713.94
1333,8,4.1,121,2092.4,2372,1034,10.30,689,72.1,17.50,78,713.85
1333.5,8.8,4.9,121,2176.1,2358,1034,10.30,693,72.5,17.50,78,711.97
1334,8.6,5,121,2178.1,2355,1034,10.30,696,72.9,17.50,78,712.05
1334.5,8.7,5.2,121,2172.3,2357,1034,10.30,700,73.4,17.50,78,711.27
1335,8.1,5.1,121,2175.9,2359,1034,10.30,704,73.8,17.50,78,709.84
1335.5,9,5.3,121,2202.4,2361,1034,10.30,707,74.2,17.50,78,709.99
1336,8.5,5.2,121,2129.9,2354,1033,10.30,711,74.6,17.50,78,709.72
1336.5,9.1,5.3,121,2116.2,2355,1034,10.30,714,75,17.50,78,708.91
